"lineages";"p-value"
"1";"crassa_BA_sex";"0.000523019553068512"
"2";"crassa_sa_sex";"0.0080823939206877"
"3";"L1_BA_sex";"2.72962197930398e-08"
"4";"L1_sa_sex";"4.45145142775317e-11"
"5";"L10_BA_sex";"2.13083691633751e-06"
"6";"L10_sa_sex";"2.34622062590815e-11"
"7";"L6_BA_sex";"9.2193742844388e-11"
"8";"L6_sa_sex";"1.38484968320266e-06"
"9";"sito_BA_sex";"0.00151692223339457"
"10";"sito_sa_sex";"2.83403845553013e-05"
