"lineages";"p-value"
"1";"crassa_BA_sex";"0.905309638187101"
"2";"crassa_sa_sex";"0.98562701291583"
"3";"L1_BA_sex";"0.662564020589499"
"4";"L1_sa_sex";"0.582969017344818"
"5";"L10_BA_sex";"0.484670638657654"
"6";"L10_sa_sex";"0.720109021663341"
"7";"L6_BA_sex";"0.439832554946944"
"8";"L6_sa_sex";"0.592980266839697"
"9";"sito_BA_sex";"0.857560687257854"
"10";"sito_sa_sex";"0.947203941707974"
