"Geneid" "Allel" "Tissue" "Value" "k_value"
"152" "Ntsc1435" "sa" "sex" NA NA
"153" "Ntsc7884" "BA" "veg" -0.718184846459608 -0.00648516618376771
"154" "Ntsc7884" "BA" "sex" 0.820782681668123 0.0275261066688095
"155" "Ntsc7884" "sa" "veg" -0.9 -0.00957589067106971
"156" "Ntsc7884" "sa" "sex" -0.0512989176042577 -0.00375249159792634
"157" "Ntsc7889" "BA" "veg" NA NA
"158" "Ntsc7889" "BA" "sex" NA NA
"159" "Ntsc7889" "sa" "veg" NA NA
"160" "Ntsc7889" "sa" "sex" NA NA
"161" "Ntsc3905" "BA" "veg" -0.6 -5.84665609073319
"162" "Ntsc3905" "BA" "sex" 0.6 6.41908796308375
"163" "Ntsc3905" "sa" "veg" -0.6 -3.86365410684142
"164" "Ntsc3905" "sa" "sex" -0.1 1.35441504884801
"165" "Ntsc3913" "BA" "veg" 0.3 6.67797058925733
"166" "Ntsc3913" "BA" "sex" 0.5 0.885113804678382
"167" "Ntsc3913" "sa" "veg" 0.5 4.8613933036512
"168" "Ntsc3913" "sa" "sex" -0.1 2.00310520416175
"169" "Ntsc3912" "BA" "veg" -0.461690258438319 -3.33456082749617
"170" "Ntsc3912" "BA" "sex" 0.4 6.27284659289609
"171" "Ntsc3912" "sa" "veg" -0.102597835208515 -0.33465203384562
"172" "Ntsc3912" "sa" "sex" 0.205195670417031 -6.14054640169519
"173" "Ntsc3932" "BA" "veg" -0.1 -0.293974880023065
"174" "Ntsc3932" "BA" "sex" -0.52704627669473 -9.22071784032357
"175" "Ntsc3932" "sa" "veg" 0 1.40636236888368
"176" "Ntsc3932" "sa" "sex" -0.564288093646835 -7.28629658736946
"177" "Ntsc3904" "BA" "veg" -0.5 -16.4466004916365
"178" "Ntsc3904" "BA" "sex" -0.670820393249937 -12.4940282836044
"179" "Ntsc3904" "sa" "veg" -0.8 -14.0522364526463
"180" "Ntsc3904" "sa" "sex" 0.1 -2.16579367718936
"181" "Ntsc1446" "BA" "veg" -0.2 -5.18378964131484
"182" "Ntsc1446" "BA" "sex" 0 -0.121574916001977
"183" "Ntsc1446" "sa" "veg" 0.102597835208515 -4.10167538681296
"184" "Ntsc1446" "sa" "sex" -0.9 -3.97326359747252
"185" "Ntsc1445" "BA" "veg" -0.205195670417031 -0.00123341771581456
"186" "Ntsc1445" "BA" "sex" 0.872081599272381 0.00804610901178563
"187" "Ntsc1445" "sa" "veg" -0.0512989176042577 -0.000803944987659033
"188" "Ntsc1445" "sa" "sex" 0.102597835208515 0.00442065685772918
"189" "Ntsc3903" "BA" "veg" -0.872081599272381 -24.6929657355648
"190" "Ntsc3903" "BA" "sex" 0.1 7.34851662637701
"191" "Ntsc3903" "sa" "veg" -0.359092423229804 -4.19479463356478
"192" "Ntsc3903" "sa" "sex" 0.66688592885535 14.6162721001867
"193" "Ntsc3902" "BA" "veg" 0.5 2.4259018117143
"194" "Ntsc3902" "BA" "sex" 0.9 12.2341267111816
"195" "Ntsc3902" "sa" "veg" 0.615587011251092 25.2332452848135
"196" "Ntsc3902" "sa" "sex" 0.9 5.68361076068079
"197" "Ntsc7888" "BA" "veg" -0.7 -6.75993108743383
"198" "Ntsc7888" "BA" "sex" 0.2 0.232677607339207
"199" "Ntsc7888" "sa" "veg" -0.1 0.6638074186496
"200" "Ntsc7888" "sa" "sex" -0.3 -1.61785820305958
"201" "Ntsc3901" "BA" "veg" -0.205195670417031 -4.96264288138046
"202" "Ntsc3901" "BA" "sex" -0.8 -13.8285023220201
"203" "Ntsc3901" "sa" "veg" 0.564288093646835 2.75626408328933
"204" "Ntsc3901" "sa" "sex" -0.1 -1.37967225728071
"205" "Ntsc1444" "BA" "veg" 0.316227766016838 7.7090268471556
"206" "Ntsc1444" "BA" "sex" -0.579750904364203 -1.29593688760627
"207" "Ntsc1444" "sa" "veg" -0.7 -1.52243659781369
"208" "Ntsc1444" "sa" "sex" -0.6 -5.74831467997593
"209" "Ntsc3911" "BA" "veg" 0.6 8.93604685905083
"210" "Ntsc3911" "BA" "sex" -0.4 -5.2187326860383
"211" "Ntsc3911" "sa" "veg" -0.316227766016838 -4.30266356862093
"212" "Ntsc3911" "sa" "sex" 0.1 -0.0796482911427583
"213" "Ntsc3910" "BA" "veg" -0.3 -1.03441739625805
"214" "Ntsc3910" "BA" "sex" 0.410391340834062 2.64142468674818
"215" "Ntsc3910" "sa" "veg" -0.737864787372622 -30.977966894677
"216" "Ntsc3910" "sa" "sex" 0.66688592885535 7.29147708207537
"217" "Ntsc3900" "BA" "veg" 0.6 0.348139252056556
"218" "Ntsc3900" "BA" "sex" 0.7 4.03093357712685
"219" "Ntsc3900" "sa" "veg" 0.3 0.884923156946264
"220" "Ntsc3900" "sa" "sex" 0.461690258438319 1.78534405353181
"221" "Ntsc3899" "BA" "veg" -0.6 -1.70205767830149
"222" "Ntsc3899" "BA" "sex" -0.3 -3.13500764082619
"223" "Ntsc3899" "sa" "veg" -0.6 -2.15884866274187
"224" "Ntsc3899" "sa" "sex" -0.6 -1.52505711425812
