"Geneid" "Tissue" "Value" "k_value"
"1" "Ntsc3922" "veg" -0.378055808657845 -7.76223778913409
"2" "Ntsc3922" "sex" 0.183493960854393 4.03551298470009
"3" "Ntsc1443" "veg" 0.631949412714044 3.45529065256249
"4" "Ntsc1443" "sex" 0.527272727272727 12.4342731051744
"5" "Ntsc3921" "veg" 0.0243906973327642 6.72573563147158
"6" "Ntsc3921" "sex" 0.607905543680065 7.61903539505372
"7" "Ntsc1442" "veg" 0.0858960366795788 0.0527443314142248
"8" "Ntsc1442" "sex" 0.110782341881399 -1.72368846414675
"9" "Ntsc3920" "veg" 0.221564683762799 6.66635964517073
"10" "Ntsc3920" "sex" 0.313883301997299 9.42620145645973
"11" "Ntsc3909" "veg" -0.400047345682831 -3.72970967438978
"12" "Ntsc3909" "sex" 0.0666666666666667 -0.167974299117373
"13" "Ntsc3931" "veg" 0.37690143708164 4.84055746482683
"14" "Ntsc3931" "sex" -0.166173512822099 1.11028306231457
"15" "Ntsc3919" "veg" 0.121953486663821 1.8144741582254
"16" "Ntsc3919" "sex" 0.0666666666666667 -3.9763756163937
"17" "Ntsc3930" "veg" 0.0121581108736013 -1.7764277189747
"18" "Ntsc3930" "sex" 0.224925051161624 2.23204201561967
"19" "Ntsc1441" "veg" 0.0666666666666667 -0.483617278758077
"20" "Ntsc1441" "sex" 0.309090909090909 7.74423135908805
"21" "Ntsc3908" "veg" -0.56535215562246 -37.3732172248437
"22" "Ntsc3908" "sex" -0.554888364320385 -12.5737016251141
"23" "Ntsc3929" "veg" -0.948332648140901 -2.98436721604155
"24" "Ntsc3929" "sex" 0.781818181818182 3.61623994275522
"25" "Ntsc3918" "veg" 0.559273100185659 1.6024223731982
"26" "Ntsc3918" "sex" -0.184637236468999 -0.152578975452252
"27" "Ntsc3917" "veg" 0.395138603392042 4.29401734154292
"28" "Ntsc3917" "sex" 0.396348831657418 8.31339753723648
"29" "Ntsc1438" "veg" -0.481564061274813 -2.17948740326304
"30" "Ntsc1438" "sex" -0.599413605457685 -3.45763193922308
