"Geneid" "Allel" "Tissue" "Value" "k_value"
"93" "Ntsc7887" "BA" "veg" 0.205195670417031 0.007935538533579
"94" "Ntsc7887" "BA" "sex" 0.2 0.00739074653809335
"95" "Ntsc7887" "sa" "veg" 0.410391340834062 -0.000577044874435614
"96" "Ntsc7887" "sa" "sex" 0.790569415042095 0.0927285505001696
"97" "Ntsc3934" "BA" "veg" 0.111803398874989 0.00630227514837087
"98" "Ntsc3934" "BA" "sex" 0.670820393249937 0.0441673463672397
"99" "Ntsc3934" "sa" "veg" -0.316227766016838 -0.00787759712950712
"100" "Ntsc3934" "sa" "sex" 0.359092423229804 0.0074594354385236
"101" "Ntsc3925" "BA" "veg" 0.153896752812773 1.01640003343818
"102" "Ntsc3925" "BA" "sex" -0.410391340834062 -12.1390924929993
"103" "Ntsc3925" "sa" "veg" -0.6 -2.86239214486275
"104" "Ntsc3925" "sa" "sex" -0.153896752812773 -1.86435743549243
"105" "Ntsc3933" "BA" "veg" 0.4 -0.606935399211891
"106" "Ntsc3933" "BA" "sex" -0.1 -3.8482226746288
"107" "Ntsc3933" "sa" "veg" 0.447213595499958 0.0613910735253204
"108" "Ntsc3933" "sa" "sex" 0.66688592885535 3.04038356419339
"109" "Ntsc7886" "BA" "veg" 0.205195670417031 -0.00192651254637655
"110" "Ntsc7886" "BA" "sex" 0 -0.000874134579215211
"111" "Ntsc7886" "sa" "veg" 0 0.00146198204796836
"112" "Ntsc7886" "sa" "sex" 0.359092423229804 0.00902032518811722
"113" "Ntsc3924" "BA" "veg" 0.1 2.67337303480843
"114" "Ntsc3924" "BA" "sex" -0.2 -14.415339335036
"115" "Ntsc3924" "sa" "veg" -0.9 -14.4622729615757
"116" "Ntsc3924" "sa" "sex" -0.3 1.95966273158112
"117" "Ntsc1447" "BA" "veg" 0.410391340834062 0.00575761401847538
"118" "Ntsc1447" "BA" "sex" -0.359092423229804 -0.10362795587368
"119" "Ntsc1447" "sa" "veg" -0.9 -0.00586468945392611
"120" "Ntsc1447" "sa" "sex" -0.948683298050514 -2.9508630740978
"121" "Ntsc1439" "BA" "veg" 0.8 13.289243899928
"122" "Ntsc1439" "BA" "sex" 0.052704627669473 4.16632649283228
"123" "Ntsc1439" "sa" "veg" 0.1 5.2357856907251
"124" "Ntsc1439" "sa" "sex" 0.0512989176042577 -2.16550959739926
"125" "Ntsc3923" "BA" "veg" -0.153896752812773 1.28425996470922
"126" "Ntsc3923" "BA" "sex" -0.3 -2.1083940105021
"127" "Ntsc3923" "sa" "veg" 0.718184846459608 9.64748138983141
"128" "Ntsc3923" "sa" "sex" -0.9 -2.78961646932766
"129" "Ntsc3907" "BA" "veg" -0.564288093646835 -12.4966027936545
"130" "Ntsc3907" "BA" "sex" 0.632455532033676 10.9265098951797
"131" "Ntsc3907" "sa" "veg" 0.2 1.37607462766165
"132" "Ntsc3907" "sa" "sex" -0.368932393686311 -0.950425172974241
"133" "Ntsc3915" "BA" "veg" -0.3 -1.02454482980238
"134" "Ntsc3915" "BA" "sex" -0.974679434480896 -11.6386230765254
"135" "Ntsc3915" "sa" "veg" 0.359092423229804 1.20850920319742
"136" "Ntsc3915" "sa" "sex" -0.205195670417031 0.669770316105335
"137" "Ntsc3914" "BA" "veg" -0.718184846459608 -19.1618229484822
"138" "Ntsc3914" "BA" "sex" -0.2 -1.61427139097018
"139" "Ntsc3914" "sa" "veg" 0.205195670417031 0.970754879178892
"140" "Ntsc3914" "sa" "sex" 0.461690258438319 2.8778371025717
"141" "Ntsc3906" "BA" "veg" 0.0512989176042577 18.6372203615146
"142" "Ntsc3906" "BA" "sex" 0.9 23.2329019515831
"143" "Ntsc3906" "sa" "veg" 0.872081599272381 39.0209689337234
"144" "Ntsc3906" "sa" "sex" 0.0512989176042577 0.407861960911229
"145" "Ntsc7885" "BA" "veg" -0.153896752812773 0.765768453214055
"146" "Ntsc7885" "BA" "sex" 0.6 9.4590086931286
"147" "Ntsc7885" "sa" "veg" -0.3 -2.41822489044338
"148" "Ntsc7885" "sa" "sex" -0.3 0.472277069769242
"149" "Ntsc1435" "BA" "veg" NA NA
"150" "Ntsc1435" "BA" "sex" NA NA
"151" "Ntsc1435" "sa" "veg" NA NA
