"Geneid" "Tissue" "Value" "k_value"
"1" "Ntsc3922" "veg" -0.404796400031289 -7.76223778913409
"2" "Ntsc3922" "sex" 0.163366277526671 4.03551298470009
"3" "Ntsc1443" "veg" 0.737901580781824 3.45529065256249
"4" "Ntsc1443" "sex" 0.529647335990537 12.4342731051744
"5" "Ntsc3921" "veg" 0.0771821311844581 4.24197197128788
"6" "Ntsc3921" "sex" 0.447558629692775 7.07905748911596
"7" "Ntsc1442" "veg" 0.0109584386171032 0.0541893815899328
"8" "Ntsc1442" "sex" -0.171725856862799 -1.35414048648689
"9" "Ntsc3920" "veg" 0.228942811896286 6.66635964517073
"10" "Ntsc3920" "sex" 0.212560439676793 9.42620145645973
"11" "Ntsc3909" "veg" -0.393863593796201 -3.74239219108146
"12" "Ntsc3909" "sex" -0.0107115072838669 -0.0456653150014983
"13" "Ntsc3931" "veg" 0.425424565681406 4.84055746482683
"14" "Ntsc3931" "sex" 0.121884241523124 1.11028306231457
"15" "Ntsc3919" "veg" 0.0498023685215258 1.25413226950825
"16" "Ntsc3919" "sex" -0.101497457239097 -4.25725208614719
"17" "Ntsc3930" "veg" -0.2351902436395 -1.7764277189747
"18" "Ntsc3930" "sex" 0.179849889114017 2.23204201561967
"19" "Ntsc1441" "veg" -0.0492977952140067 -0.483617278758077
"20" "Ntsc1441" "sex" 0.356838416556448 7.74423135908805
"21" "Ntsc3908" "veg" -0.55981942295352 -37.3732172248437
"22" "Ntsc3908" "sex" -0.470450870765196 -12.5737016251141
"23" "Ntsc3929" "veg" -0.832043339089365 -2.98436721604155
"24" "Ntsc3929" "sex" 0.854140443626015 3.61623994275522
"25" "Ntsc3918" "veg" 0.35212712800009 1.52170401319275
"26" "Ntsc3918" "sex" -0.0956151139263844 -0.190906416137195
"27" "Ntsc3917" "veg" 0.379026623605112 3.67768986222187
"28" "Ntsc3917" "sex" 0.462559157464642 8.5487708992707
"29" "Ntsc1438" "veg" -0.518551228110446 -2.20975806164169
"30" "Ntsc1438" "sex" -0.594875708313385 -3.50565460504561
"31" "Ntsc1437" "veg" 0.76097070852411 4.12730050192064
"32" "Ntsc1437" "sex" 0.348786378681159 2.97342108187344
"33" "Ntsc3928" "veg" 0.513369044727589 17.7125770132327
"34" "Ntsc3928" "sex" 0.621687867218019 4.79012663415688
"35" "Ntsc3916" "veg" -0.0736654925610824 -0.459547252400252
"36" "Ntsc3916" "sex" -0.10763221911433 -0.260813545760846
"37" "Ntsc1440" "veg" -0.56250830653825 -4.38930629701726
"38" "Ntsc1440" "sex" -0.0792639357336973 -0.56596633526217
"39" "Ntsc3927" "veg" 0.627559336966745 4.09494364340629
"40" "Ntsc3927" "sex" -0.113727561874953 -3.05174592290646
"41" "Ntsc3935" "veg" 0.361180469181388 0.0499700105438499
"42" "Ntsc3935" "sex" 0.462076334740107 0.408778630777943
"43" "Ntsc3926" "veg" NA NA
"44" "Ntsc3926" "sex" NA NA
"45" "Ntsc1436" "veg" 0.365491179420905 2.67218414955858
"46" "Ntsc1436" "sex" -0.33171389790502 -2.83551559934468
"47" "Ntsc7887" "veg" 0.10175686728382 0.00437739175053713
"48" "Ntsc7887" "sex" 0.177507624282613 0.011366333235867
"49" "Ntsc3934" "veg" -0.047530830126285 -0.00116231583092802
"50" "Ntsc3934" "sex" 0.465171727183359 0.0142123255070946
