"Geneid" "Tissue" "Value" "k_value"
"1" "Ntsc3922" "veg" -0.332527556992465 -6.75658380672392
"2" "Ntsc3922" "sex" 0.119077493686457 3.85132437863326
"3" "Ntsc1443" "veg" 0.528687502384119 5.35305338382516
"4" "Ntsc1443" "sex" 0.479334396172802 12.4312563644741
"5" "Ntsc3921" "veg" 0.0370973947963197 4.86668369232938
"6" "Ntsc3921" "sex" 0.496932085681562 6.45454156658905
"7" "Ntsc1442" "veg" 0.0318977055353705 -0.26589971057725
"8" "Ntsc1442" "sex" 0.138881596644554 0.128515774045001
"9" "Ntsc3920" "veg" 0.4983398467834 13.4764603682855
"10" "Ntsc3920" "sex" 0.136839220223311 5.89427060149873
"11" "Ntsc3909" "veg" -0.213141395557037 -2.30442563061006
"12" "Ntsc3909" "sex" 0.154660865638375 0.10232119533598
"13" "Ntsc3931" "veg" 0.33218464184938 5.70013847308898
"14" "Ntsc3931" "sex" -0.051059410531086 2.1436525916026
"15" "Ntsc3919" "veg" 0.146817137102052 3.76405698417451
"16" "Ntsc3919" "sex" -0.155134560057337 -6.8623364898737
"17" "Ntsc3930" "veg" -0.130453077973238 -2.03704091134113
"18" "Ntsc3930" "sex" 0.216525211893725 2.4351230942741
"19" "Ntsc1441" "veg" -0.0315086945735968 -1.29679633248067
"20" "Ntsc1441" "sex" 0.237991203694188 7.70742678375754
"21" "Ntsc3908" "veg" -0.521139873346699 -32.9895503980674
"22" "Ntsc3908" "sex" -0.56522939707847 -12.537555561407
"23" "Ntsc3929" "veg" -0.530554012994253 -0.967755408968924
"24" "Ntsc3929" "sex" 0.716655202110105 3.71591281108568
"25" "Ntsc3918" "veg" 0.598954301438761 3.31639412671133
"26" "Ntsc3918" "sex" -0.200386686783634 -0.241323815933271
"27" "Ntsc3917" "veg" 0.389501096750207 3.65257611684798
"28" "Ntsc3917" "sex" 0.486987618962596 8.41008052892186
"29" "Ntsc1438" "veg" -0.504685004418453 -2.2953994560584
"30" "Ntsc1438" "sex" -0.442481141312174 -3.04391832744334
"31" "Ntsc1437" "veg" 0.469450668695245 3.57220307370549
"32" "Ntsc1437" "sex" 0.230107743460094 3.09576306724052
"33" "Ntsc3928" "veg" 0.430958362020431 17.467472764129
"34" "Ntsc3928" "sex" 0.581659342509542 5.18305287301601
"35" "Ntsc3916" "veg" -0.0594148787339721 -0.278331492309084
"36" "Ntsc3916" "sex" 0.0088227696161663 -0.300858732658242
"37" "Ntsc1440" "veg" -0.424308722686151 -4.20243561751095
"38" "Ntsc1440" "sex" -0.225266912995025 -1.41869853982354
"39" "Ntsc3927" "veg" 0.45573636592467 3.38305845278144
"40" "Ntsc3927" "sex" 0.0397953871451429 -2.20893929663128
"41" "Ntsc3935" "veg" 0.160820270805154 0.0576940403295498
"42" "Ntsc3935" "sex" 0.722646931150431 0.667545424874568
"43" "Ntsc3926" "veg" NA NA
"44" "Ntsc3926" "sex" NA NA
"45" "Ntsc1436" "veg" -0.00272316856165792 0.765325447904787
"46" "Ntsc1436" "sex" -0.318735870924304 -4.55586161252459
"47" "Ntsc7887" "veg" 0.120656375244807 0.0226716597261883
"48" "Ntsc7887" "sex" -0.00206179723617757 0.0135792745964736
"49" "Ntsc3934" "veg" -0.142761766986142 0.00356243986300011
"50" "Ntsc3934" "sex" 0.190886368214115 0.0114866900634679
"51" "Ntsc3925" "veg" 0.0367627755823819 -0.158779273161199
