"Geneid" "Allel" "Tissue" "Value" "k_value"
"85" "Ntsc3926" "BA" "veg" NA NA
"86" "Ntsc3926" "BA" "sex" NA NA
"87" "Ntsc3926" "sa" "veg" NA NA
"88" "Ntsc3926" "sa" "sex" NA NA
"89" "Ntsc1436" "BA" "veg" -0.183333911292227 -2.03875955168806
"90" "Ntsc1436" "BA" "sex" -0.604610377594656 -11.3964603391269
"91" "Ntsc1436" "sa" "veg" 0.852785748403447 4.28789903673498
"92" "Ntsc1436" "sa" "sex" -0.165935314408679 -1.00699852923818
"93" "Ntsc7887" "BA" "veg" 0.405724871050135 0.007935538533579
"94" "Ntsc7887" "BA" "sex" 0.127393969124828 0.00739074653809335
"95" "Ntsc7887" "sa" "veg" -0.00794271511444921 -0.000577044874435614
"96" "Ntsc7887" "sa" "sex" 0.789177266331073 0.0927285505001696
"97" "Ntsc3934" "BA" "veg" 0.242903925941269 0.00630227514837087
"98" "Ntsc3934" "BA" "sex" 0.764300150129675 0.0441673463672397
"99" "Ntsc3934" "sa" "veg" -0.300029771696685 -0.00787759712950712
"100" "Ntsc3934" "sa" "sex" 0.374720044874298 0.0074594354385236
"101" "Ntsc3925" "BA" "veg" 0.234963135605084 1.01640003343818
"102" "Ntsc3925" "BA" "sex" -0.616039018521362 -12.1390924929993
"103" "Ntsc3925" "sa" "veg" -0.596719006547802 -2.86239214486275
"104" "Ntsc3925" "sa" "sex" -0.125026179165922 -1.86435743549243
"105" "Ntsc3933" "BA" "veg" -0.303818214442527 -0.606935399211891
"106" "Ntsc3933" "BA" "sex" -0.374484030609498 -3.8482226746288
"107" "Ntsc3933" "sa" "veg" 0.0539630715010768 0.0613910735253204
"108" "Ntsc3933" "sa" "sex" 0.508196154574391 3.04038356419339
"109" "Ntsc7886" "BA" "veg" -0.167839693780308 -0.00192651254637655
"110" "Ntsc7886" "BA" "sex" -0.131567465128289 -0.000874134579215211
"111" "Ntsc7886" "sa" "veg" 0.12844350387106 0.00146198204796836
"112" "Ntsc7886" "sa" "sex" 0.326598076201649 0.00902032518811722
"113" "Ntsc3924" "BA" "veg" 0.135087374500435 2.67337303480843
"114" "Ntsc3924" "BA" "sex" -0.338344315780328 -14.415339335036
"115" "Ntsc3924" "sa" "veg" -0.68285877283844 -14.4622729615757
"116" "Ntsc3924" "sa" "sex" 0.0913579703307171 1.95966273158112
"117" "Ntsc1447" "BA" "veg" 0.477892611396669 0.00575761401847538
"118" "Ntsc1447" "BA" "sex" -0.505153585388604 -0.10362795587368
"119" "Ntsc1447" "sa" "veg" -0.886035589976048 -0.00586468945392611
"120" "Ntsc1447" "sa" "sex" -0.988980812617478 -2.9508630740978
"121" "Ntsc1439" "BA" "veg" 0.868776561041538 13.289243899928
"122" "Ntsc1439" "BA" "sex" 0.162680742846368 4.16632649283228
"123" "Ntsc1439" "sa" "veg" 0.608604514727533 5.2357856907251
"124" "Ntsc1439" "sa" "sex" -0.133450044814437 -2.16550959739926
"125" "Ntsc3923" "BA" "veg" 0.327181638443013 1.28425996470922
"126" "Ntsc3923" "BA" "sex" -0.457110602366104 -2.1083940105021
"127" "Ntsc3923" "sa" "veg" 0.713458677029394 9.64748138983141
"128" "Ntsc3923" "sa" "sex" -0.888807040671277 -2.78961646932766
"129" "Ntsc3907" "BA" "veg" -0.65912542871143 -12.4966027936545
"130" "Ntsc3907" "BA" "sex" 0.613080995918986 10.9265098951797
"131" "Ntsc3907" "sa" "veg" 0.0632481246844474 1.37607462766165
"132" "Ntsc3907" "sa" "sex" -0.109026888444303 -0.950425172974241
"133" "Ntsc3915" "BA" "veg" -0.261959804200369 -1.02454482980238
"134" "Ntsc3915" "BA" "sex" -0.91923608526108 -11.6386230765254
"135" "Ntsc3915" "sa" "veg" 0.145433482600205 1.20850920319742
"136" "Ntsc3915" "sa" "sex" 0.0843503800976361 0.669770316105335
"137" "Ntsc3914" "BA" "veg" -0.621630268791743 -19.1618229484822
"138" "Ntsc3914" "BA" "sex" -0.19331205636899 -1.61427139097018
"139" "Ntsc3914" "sa" "veg" 0.152882694834825 0.970754879178892
"140" "Ntsc3914" "sa" "sex" 0.339852452656327 2.8778371025717
"141" "Ntsc3906" "BA" "veg" 0.30536007063866 18.6372203615146
"142" "Ntsc3906" "BA" "sex" 0.930964844820527 23.2329019515831
"143" "Ntsc3906" "sa" "veg" 0.901244907508337 39.0209689337234
"144" "Ntsc3906" "sa" "sex" 0.0227315693081643 0.407861960911229
"145" "Ntsc7885" "BA" "veg" 0.140349985994875 0.765768453214055
