"lineages";"p-value"
"1";"crassa_BA_sex";"1"
"2";"crassa_sa_sex";"0.999952526517682"
"3";"L1_BA_sex";"0.999892372238088"
"4";"L1_sa_sex";"0.999942166338452"
"5";"L10_BA_sex";"0.927454723189087"
"6";"L10_sa_sex";"1"
"7";"L6_BA_sex";"0.916238360776091"
"8";"L6_sa_sex";"0.993459934599733"
"9";"sito_BA_sex";"0.999977565086585"
"10";"sito_sa_sex";"1"
