"Geneid" "Allel" "Tissue" "Value"
"111" "Ntsc7886" "sa" "veg" -0.0314970394174356
"112" "Ntsc7886" "sa" "sex" -0.279858539274778
"113" "Ntsc3924" "BA" "veg" -0.0545544725589981
"114" "Ntsc3924" "BA" "sex" -0.240039679259592
"115" "Ntsc3924" "sa" "veg" -0.469168464007383
"116" "Ntsc3924" "sa" "sex" -0.370970413401187
"117" "Ntsc1447" "BA" "veg" 0.106346244924416
"118" "Ntsc1447" "BA" "sex" 0.0615688786404512
"119" "Ntsc1447" "sa" "veg" -0.380607613413698
"120" "Ntsc1447" "sa" "sex" -0.793575393243707
"121" "Ntsc1439" "BA" "veg" 0.796495299361372
"122" "Ntsc1439" "BA" "sex" 0.3659625273557
"123" "Ntsc1439" "sa" "veg" 0.600099198148979
"124" "Ntsc1439" "sa" "sex" -0.179109465135858
"125" "Ntsc3923" "BA" "veg" 0.44854261357253
"126" "Ntsc3923" "BA" "sex" -0.347024588700725
"127" "Ntsc3923" "sa" "veg" 0.785584404849572
"128" "Ntsc3923" "sa" "sex" -0.772409568398388
"129" "Ntsc3907" "BA" "veg" -0.503745370694601
"130" "Ntsc3907" "BA" "sex" 0.534800808490325
"131" "Ntsc3907" "sa" "veg" 0
"132" "Ntsc3907" "sa" "sex" -0.379536057638295
"133" "Ntsc3915" "BA" "veg" -0.240039679259592
"134" "Ntsc3915" "BA" "sex" -0.912338838035777
"135" "Ntsc3915" "sa" "veg" 0.156720781993876
"136" "Ntsc3915" "sa" "sex" -0.10074907413892
"137" "Ntsc3914" "BA" "veg" -0.722035031328927
"138" "Ntsc3914" "BA" "sex" -0.296650051631265
"139" "Ntsc3914" "sa" "veg" 0.28368325730679
"140" "Ntsc3914" "sa" "sex" 0.776323754260148
"141" "Ntsc3906" "BA" "veg" 0.0671660494259467
"142" "Ntsc3906" "BA" "sex" 0.741940826802374
"143" "Ntsc3906" "sa" "veg" 0.688452006615954
"144" "Ntsc3906" "sa" "sex" 0.123137757280902
"145" "Ntsc7885" "BA" "veg" -0.106346244924416
"146" "Ntsc7885" "BA" "sex" 0.654653670707977
"147" "Ntsc7885" "sa" "veg" -0.0545544725589981
"148" "Ntsc7885" "sa" "sex" 0.0654653670707977
"149" "Ntsc1435" "BA" "veg" NA
"150" "Ntsc1435" "BA" "sex" NA
"151" "Ntsc1435" "sa" "veg" NA
"152" "Ntsc1435" "sa" "sex" NA
"153" "Ntsc7884" "BA" "veg" -0.430982150483158
"154" "Ntsc7884" "BA" "sex" 0.548522736978565
"155" "Ntsc7884" "sa" "veg" -0.370970413401187
"156" "Ntsc7884" "sa" "sex" 0.559717078549556
"157" "Ntsc7889" "BA" "veg" NA
"158" "Ntsc7889" "BA" "sex" NA
"159" "Ntsc7889" "sa" "veg" NA
"160" "Ntsc7889" "sa" "sex" NA
"161" "Ntsc3905" "BA" "veg" -0.589188303637179
"162" "Ntsc3905" "BA" "sex" 0.654653670707977
"163" "Ntsc3905" "sa" "veg" -0.218217890235992
"164" "Ntsc3905" "sa" "sex" 0.229128784747792
"165" "Ntsc3913" "BA" "veg" 0.381881307912987
"166" "Ntsc3913" "BA" "sex" 0.327326835353989
"167" "Ntsc3913" "sa" "veg" 0.665564565219777
"168" "Ntsc3913" "sa" "sex" 0.305505046330389
"169" "Ntsc3912" "BA" "veg" -0.425384979697663
"170" "Ntsc3912" "BA" "sex" 0.261861468283191
"171" "Ntsc3912" "sa" "veg" -0.15112361120838
"172" "Ntsc3912" "sa" "sex" 0.0391801954984689
"173" "Ntsc3932" "BA" "veg" -0.0981980506061965
"174" "Ntsc3932" "BA" "sex" -0.477295345211795
"175" "Ntsc3932" "sa" "veg" 0.346467433591792
"176" "Ntsc3932" "sa" "sex" 0.0111943415709911
"177" "Ntsc3904" "BA" "veg" -0.414613991448385
"178" "Ntsc3904" "BA" "sex" -0.609937545592833
"179" "Ntsc3904" "sa" "veg" -0.752851721314174
"180" "Ntsc3904" "sa" "sex" 0.0981980506061965
"181" "Ntsc1446" "BA" "veg" -0.27277236279499
"182" "Ntsc1446" "BA" "sex" 0.120019839629796
"183" "Ntsc1446" "sa" "veg" -0.0559717078549556
"184" "Ntsc1446" "sa" "sex" -0.676475459731576
"185" "Ntsc1445" "BA" "veg" -0.240678343776309
"186" "Ntsc1445" "BA" "sex" 0.442176492054149
"187" "Ntsc1445" "sa" "veg" -0.0671660494259467
"188" "Ntsc1445" "sa" "sex" -0.212692489848831
"189" "Ntsc3903" "BA" "veg" -0.856367130180821
"190" "Ntsc3903" "BA" "sex" 0.0545544725589981
"191" "Ntsc3903" "sa" "veg" -0.35262175948622
"192" "Ntsc3903" "sa" "sex" 0.671660494259467
"193" "Ntsc3902" "BA" "veg" 0.349148624377588
"194" "Ntsc3902" "BA" "sex" 0.840138877408571
"195" "Ntsc3902" "sa" "veg" 0.486953858338114
"196" "Ntsc3902" "sa" "sex" 0.840138877408571
"197" "Ntsc7888" "BA" "veg" -0.774673510337773
"198" "Ntsc7888" "BA" "sex" 0.0545544725589981
"199" "Ntsc7888" "sa" "veg" -0.0872871560943969
"200" "Ntsc7888" "sa" "sex" -0.338237729865788
"201" "Ntsc3901" "BA" "veg" -0.173512294350362
"202" "Ntsc3901" "BA" "sex" -0.829227982896771
"203" "Ntsc3901" "sa" "veg" 0.408593467341176
