"geneID" "distance" "met_veg" "met_sex"
"Ntsc3817" "Ntsc3817" 120703 0.23598820058997 0.31858407079646
"Ntsc1405" "Ntsc1405" 122041 0.333333333333333 0
"Ntsc3816" "Ntsc3816" 126779 0.248062015503876 0.27906976744186
"Ntsc1404" "Ntsc1404" 129271 0.217391304347826 0.226086956521739
"Ntsc3815" "Ntsc3815" 135284 0.257352941176471 0.279411764705882
"Ntsc3800" "Ntsc3800" 136481 0.245901639344262 0.213114754098361
"Ntsc3828" "Ntsc3828" 138048 0.276422764227642 0.268292682926829
"Ntsc3837" "Ntsc3837" 140494 0.201388888888889 0.256944444444444
"Ntsc3799" "Ntsc3799" 143012 0.290322580645161 0.206451612903226
"Ntsc3798" "Ntsc3798" 146648 0.242320819112628 0.25938566552901
"Ntsc3797" "Ntsc3797" 142369 0.267175572519084 0.236641221374046
"Ntsc7879" "Ntsc7879" 138845 0.239130434782609 0.232919254658385
"Ntsc3827" "Ntsc3827" 137675 0.188405797101449 0.130434782608696
"Ntsc1398" "Ntsc1398" 134678 0.272727272727273 0.246753246753247
"Ntsc7878" "Ntsc7878" 131754 0.267326732673267 0.277227722772277
"Ntsc1397" "Ntsc1397" 123439 0.218518518518519 0.240740740740741
"Ntsc3836" "Ntsc3836" 119850 0.305084745762712 0.322033898305085
"Ntsc3814" "Ntsc3814" 111882 0.203389830508475 0.266949152542373
"Ntsc3796" "Ntsc3796" 101273 0.280966767371601 0.293051359516616
"Ntsc3795" "Ntsc3795" 97596 0.188612099644128 0.234875444839858
"Ntsc3835" "Ntsc3835" 93967 0.265700483091787 0.352657004830918
"Ntsc3794" "Ntsc3794" 91983 0.23463687150838 0.229050279329609
"Ntsc3793" "Ntsc3793" 87054 0.255421686746988 0.281927710843373
"Ntsc3826" "Ntsc3826" 84466 0.239583333333333 0.234375
"Ntsc7877" "Ntsc7877" 70935 0.22248243559719 0.203747072599532
"Ntsc1402" "Ntsc1402" 62451 0.235059760956175 0.322709163346614
"Ntsc1396" "Ntsc1396" 60442 0.314102564102564 0.314102564102564
"Ntsc1395" "Ntsc1395" 55890 0.277777777777778 0.216666666666667
"Ntsc1399" "Ntsc1399" 51833 0.308823529411765 0.299019607843137
"Ntsc3813" "Ntsc3813" 48613 0.302439024390244 0.229268292682927
"Ntsc3812" "Ntsc3812" 39818 0.189189189189189 0.237837837837838
"Ntsc3834" "Ntsc3834" 28063 0.256064690026954 0.296495956873315
