"lineages";"p-value"
"1";"crassa_BA_veg";"5.33384109795514e-18"
"2";"crassa_sa_veg";"7.7593136786557e-23"
"3";"L1_BA_veg";"1.22890228267885e-21"
"4";"L1_sa_veg";"1.48501755960823e-23"
"5";"L10_BA_veg";"2.37938407531621e-23"
"6";"L10_sa_veg";"3.79063135980998e-17"
"7";"L6_BA_veg";"1.66352020727032e-14"
"8";"L6_sa_veg";"1.70822195755662e-17"
"9";"sito_BA_veg";"2.11158147666742e-23"
"10";"sito_sa_veg";"8.12831791189163e-21"
