	Geneid	crassa_BA_sex	crassa_BA_veg	crassa_sa_sex	crassa_sa_veg	L1_BA_sex	L1_BA_veg	L1_sa_sex	L1_sa_veg	L10_BA_sex	L10_BA_veg	L10_sa_sex	L10_sa_veg	L6_BA_sex	L6_BA_veg	L6_sa_sex	L6_sa_veg	sito_BA_sex	sito_BA_veg	sito_sa_sex	sito_sa_veg
1	Ntsc1042	654.591557566013	867.795245586146	629.21939543055	843.498657778889	1406.83026548156	916.589283895909	1106.18593956044	648.633627684176	1174.86534970638	937.959539886326	1710.79421565931	1113.88031458374	1499.79598218558	1671.81708225603	1174.82571061569	708.968378911106	536.629743841999	1747.98119666976	474.521851887605	2411.76548510469
2	Ntsc1043	100.514914255386	182.146663950965	99.3805285316951	158.353756040194	130.462480419128	146.048311681914	132.519340785099	183.008566350602	247.995342948825	687.383034539509	215.894953333293	257.09703785198	138.550248584358	431.139065389047	179.112662971916	180.977122928209	210.344620343829	495.593743933056	104.699265561207	177.311871024093
3	Ntsc1044	464.430184421646	3.79813229705553	1513.48953625114	5.65460810679539	12.4850044215811	23.9732220230448	57.4905324654183	39.0007311604358	68.2155517631281	4.17491225007326	855.495067176278	15.8120351525288	493.659802488579	5171.05879912497	82.0383226344711	454.480999343092	136.392497269036	0.866699407766968	44.5137304339349	1.9320494820888
4	Ntsc1045	5529.67743364635	5992.68839361254	5417.56258896386	7279.19624531241	1689.69547940091	2651.95211845905	5577.60837310437	3148.50695982895	949.961229602701	86.4975261100998	253.889603300059	1004.31790883631	1873.41923123775	4944.90514040226	4150.13794884522	3046.11261494014	2928.51738119108	899.898848979745	2902.07942876862	684.298703879329
5	Ntsc1046	818.816243429032	183.804339666653	722.624292965054	175.546368582047	790.523743702497	404.802260167856	768.586920976073	444.077222276779	694.256439262702	1380.15353799246	667.746066470845	401.482354638833	545.952600940542	451.240192394912	729.782729532782	383.61758460672	879.760763710627	550.900573601844	1245.92155094191	1019.58721288691
6	Ntsc1047	1197.05654817838	1055.76714845562	1248.5177831733	1013.61129131204	1416.06050642919	665.825151251572	2421.50896078004	678.44404617289	1355.34096007777	650.513338121789	973.90863556336	807.703529416121	945.871313951032	840.668524288644	1899.84328234256	733.388856449808	1503.30525023755	572.370265990702	1738.47802750466	488.946581535243
7	Ntsc1048	81.605515447947	113.771276676086	89.5204637428474	123.89999427887	198.218069858152	131.742522734368	219.146721899641	141.931847974398	170.619186019189	231.554569036936	149.933694219262	101.013640780602	128.870356690108	88.2885281211777	178.892011111689	156.723476327761	129.747515102666	125.109165949582	144.615092200177	131.005950796891
8	Ntsc1049	364.069055010998	1027.95933072156	340.300610127581	819.997286489737	552.747414331261	1397.61584714658	554.177719804069	1098.32112694704	492.60534050174	869.249645978044	408.500748561851	508.4291054886	500.958441409029	583.935809422086	486.920746618748	691.931414838201	664.131291541811	705.72134574703	628.572509367777	805.824551931
9	Ntsc1050	353.050186595544	3475.13904193891	344.505173466488	3371.72911942262	22.4414729464056	2177.91825837709	12.5468735798318	2941.4653796791	56.0391065638191	2266.07544606787	68.6988531462159	2640.59930560128	141.796409855662	2070.63728541646	25.3136719934343	2488.00514321734	16.2621102645234	1269.70555247835	43.692956503319	1696.29714268275
10	Ntsc1051	0	0	0.465978499882561	0.897232019831924	14.1481968488357	8.9358484623749	22.2030656405056	7.33501264327246	28.1423343084546	4.6508375135953	82.7785923905442	35.527430106499	2.32453208937973	1.2475012042359	24.0069045433161	8.21866441353858	160.911992996848	44.9539528866472	125.608239607685	21.898159323684
11	Ntsc1052	349.066608876464	94.4929483878074	313.102772899535	96.1350907925631	290.792111096345	30.1048498633729	201.845038893408	33.693867139551	404.700133346671	21.2289592200764	599.340493089786	126.679960504667	518.99864170068	174.877139773382	281.973637090152	45.6835228591214	85.2402676269767	25.4713713458261	88.5592931481198	20.8023516128408
12	Ntsc1053	332.608831959728	406.615308438818	340.896039698881	380.52754072293	489.861287558218	523.406056409076	437.392583101683	464.657347437908	482.314684466235	528.032453270163	515.962203331268	489.123205689431	296.308848971195	463.455772207083	397.213015479174	417.973756430993	384.048140673034	470.141551055898	467.542720660105	494.243687013563
13	Ntsc1054	527.9720751357	455.12812089685	477.249600640175	442.296984515648	654.755685336453	570.328055558689	990.631492763476	641.974293348104	720.549792487179	1123.95958151107	544.833142180535	634.805398151988	632.615681810333	560.894955000541	870.923498246327	667.15925515798	1089.6501539467	639.409720427904	920.786100536953	889.984506663476
14	Ntsc1055	603.853348680255	667.552266597117	523.966827310234	740.210737429482	499.988640382982	427.201732205056	588.330300459264	473.656497750479	397.123558917888	577.276161255135	342.233089694078	313.305239328801	443.745866388445	437.880799761789	583.102781216198	472.836573508502	381.203581606066	468.647836643245	416.891574454972	497.67532212276
15	Ntsc1056	5764.61530477657	2422.58063602778	5273.30888740911	2527.87360093923	3975.83301283421	2573.32286210343	2982.32383940614	2574.46426679598	2909.0146308408	2279.16808535435	4605.16020744468	2418.20004448922	5146.83138594354	3316.80487984006	3605.36546474054	3012.74754353556	4040.60662668697	2852.82898232175	6377.58294580035	2916.78961194102
16	Ntsc1057	286.871522319912	141.030120595989	306.032616331098	161.704948252455	127.199014627865	67.599828857323	89.4405721917733	103.64115115586	370.456170731921	180.949042754829	240.416547280148	217.128315365689	378.828126139328	286.960395464118	213.036108832928	212.56724532251	472.178052998054	522.291587487459	228.905059515483	300.672809847899
17	Ntsc1058	5046.89696546089	1206.36654070214	4870.97787792206	1296.51940904182	3492.05038110044	1097.01411591639	2978.62699330688	1090.10310967271	4117.2396636239	1220.05954437928	5135.09028859416	1559.6897185573	3349.30670393851	1351.41819101475	3777.18312617008	1312.4351124996	2774.66216966579	1400.31065750448	3374.39341088894	1442.21792772148
18	Ntsc1059	2913.9132326212	999.994100502597	2303.50600622899	927.528290938388	1335.71937934124	553.269224711168	1149.88590190301	494.628213398067	1364.26147025935	573.895338482559	1935.09115534956	645.032707074333	1986.78248263571	979.631734498137	1055.41141418318	415.385869324336	1128.06026849042	1248.73944873343	1223.19827923528	997.849919261138
19	Ntsc1060	173.045739247482	1638.20198228286	156.911088908304	1636.34794264358	1532.84323341544	2892.07220699959	746.551703638841	2027.59090159932	1470.0074127166	3075.79787239491	1504.1291857756	3126.66807692357	1306.56754580229	3916.52225228218	714.71988499092	1796.37444960303	646.977883798581	2205.2935528151	501.233182317389	3634.88815283096
20	Ntsc1061	188.00964040185	636.511502356777	183.802837940056	607.447647368152	210.26369284099	361.997424957832	184.173208852237	325.683032228449	202.982019783711	349.810602717401	168.25357973438	425.919571529366	214.388817703792	518.7858517369	216.782314264141	273.901189618891	348.033107786166	619.38296006926	364.211649594772	614.601631916391
21	Ntsc1062	248.113177290825	69.054610075784	241.779385416472	67.9231807153229	261.843665322209	375.837666955522	304.936624125423	269.489270445867	195.45456349219	189.052828192416	220.466954178276	196.614513402464	165.710745891813	246.619888192769	250.953238166836	223.893225140528	318.991903111858	301.873231051781	288.287709459656	346.702288571001
22	Ntsc1063	46.3726941404218	39.6874829952439	34.6962370376844	52.2149555809064	53.5084274864892	54.7930534394507	73.5808984588094	47.495227966658	36.4254342647229	72.2610699109936	33.5263673006412	54.3505346521207	21.3451424750357	35.5459494612275	53.6581931164005	45.4691373890823	90.0953991582196	42.776084640008	99.3109431075591	49.0035418666678
23	Ntsc1064	236.421118444765	247.746423080007	223.93277069023	282.393926719159	239.400894183169	239.965228517333	249.950944977804	266.013236779873	329.805367530981	413.627024959294	290.515373280875	385.793782730858	234.995988657526	273.300514266353	271.512703632622	287.698675709591	208.432520186247	264.861618645102	229.34240451893	244.581911600936
24	Ntsc1065	171.414126006416	442.173238407512	83.0076351952164	494.373877583338	394.700092810654	767.341831823217	238.388333216503	720.762244886569	1223.87144094236	213.653131695457	749.552835492521	498.991694960343	974.478570802251	49.8731777144456	334.324582739422	490.492151327314	117.019009737898	90.453213442026	121.84987148057	37.5571864875538
25	Ntsc1066	13.0337878199363	1.62412764497611	5.55530179824042	3.11048726027269	171.326166843603	2.38152817845493	480.528217031829	13.066223340305	48.1755863133504	7.97484399550814	1.02652350361168	1.70738693493166	2.84258913622409	5.78718168692584	326.981067212854	21.5570748383533	419.214629678148	2.57376474824693	203.532099581152	2.81253835740526
26	Ntsc1067	137.382121225965	241.833623049754	129.852380767975	268.733622309537	338.21880231943	285.570416236818	561.999187516411	398.637383124381	215.46928132738	686.820558317476	440.83404028325	481.938627545206	222.712289450239	189.986833682113	514.031121038382	495.304494825615	324.050331655849	358.772403917907	304.954534440919	512.598725034708
27	Ntsc1068	321.874526712196	287.879509503962	328.166901772403	304.023349645429	424.366039672342	406.287868256523	481.215251277978	407.95424807606	460.700952656776	331.803903372653	337.080372395482	332.664782836148	325.395942134096	316.161554122647	440.368529355137	372.966693961134	446.468534725314	377.408148544756	544.490603520665	385.326277452196
28	Ntsc1069	2133.10306279994	1525.57269320841	2297.36470385955	1546.07451672233	514.250083163546	766.041112886752	556.587546065616	1077.4607528478	192.268108567481	275.4799562056	1121.57183472075	1030.26246248684	416.69163243804	555.362442788492	865.99952753905	1222.85019586575	134.375499837588	276.685951326087	134.856810361827	231.69570432435
29	Ntsc1070	735.019545325022	289.35814335084	717.620280987269	224.393724905954	970.155553224198	1256.53807691503	595.130729809375	796.496557826034	426.512099494391	654.506396463912	959.189243729136	594.785940413869	484.78211370046	734.675857619489	736.393504440799	665.355808657383	579.148945685786	798.71641824018	652.853897251309	774.567552173561
30	Ntsc1071	69.9570627753184	99.0774080808894	67.3434281251425	109.262657685117	91.7114449179735	111.434301246684	91.0043606631719	142.828661433761	115.428893202459	105.494052795488	85.9900371620127	93.6106256544894	158.531112111412	132.06492577854	92.4587744451709	129.620424374887	109.632888709069	164.952157866316	95.1356120706649	173.215407360979
31	Ntsc1072	162.389756384624	118.368400696295	146.443883482143	103.271205411559	155.455997459241	252.963798892004	136.225439707667	229.458217977463	221.535718894843	321.485921737859	292.512036556049	275.14438441134	272.461488024346	312.771729771583	177.991815319244	213.541443686544	148.889011740356	267.630918837687	160.87436608979	295.509366162661
32	Ntsc1073	471.666242438422	649.229771573218	472.791579059663	644.417892427416	311.050576358273	299.271903710517	343.09278646879	283.686534557145	381.584534467555	176.697994172808	307.882065674331	348.807640130439	425.104443182455	354.926819396134	359.610552279387	269.645026419757	630.035402495027	305.927366608183	603.310186149052	251.536548776404
33	Ntsc1074	281.16127745673	336.54914573335	272.946646019113	300.286180321871	433.153621646296	515.927707957112	446.522037795384	470.811221905946	382.583604878567	469.134782697689	437.19460315216	461.31254950128	405.419498616083	425.392427597589	414.079787995848	451.520461578933	492.857684493228	536.237214011438	514.346178798585	541.332373453074
34	Ntsc1075	19.4907414871315	34.5344527458692	25.1217119781068	30.4259801248825	129.845696187119	23.8766734071972	358.377803016083	38.1324186586571	16.7926002962025	3.26335272734998	88.211373858721	42.4078878003459	201.64677708224	131.15098544355	243.537961679189	66.6207626530868	50.6861624436561	3.07294813976535	46.8487095570076	6.10865516457646
35	Ntsc1076	466.849474677713	885.401695748095	425.900717013165	821.209098243432	545.418359870504	678.209926614732	699.172567317854	689.552112781258	540.5666347742	1068.05321456507	540.913300933718	663.55888087041	439.2857156486	659.413141715874	640.847707729277	714.612107456974	586.544658744028	992.768668063224	635.92743549415	1171.41043859308
36	Ntsc1077	1307.34115974567	562.391754843078	1143.18725608574	444.539290148867	924.74608390955	706.63344471257	668.542833412171	873.316561822893	1486.86105768463	844.099013007243	1521.2281547709	729.961450358668	2125.06942470331	585.601229470082	1030.50139657727	833.730783079409	338.498485239329	463.056239357624	382.654687504757	546.145900481627
37	Ntsc1078	1052.52574574495	381.770479047513	1095.94103119874	359.711072125391	1054.90349104283	685.782972129115	682.096292766768	508.001797733951	1186.60855306367	459.451994645777	256.24559344884	203.866292282841	379.683976068171	443.225872706996	785.666133713292	428.409897491058	749.993893155405	588.445752257278	841.871333978147	604.101222532708
38	Ntsc1079	845.856559179995	905.738499764893	780.634120728444	897.889990328951	638.723426315349	915.199922653146	528.850662811939	662.674923766394	775.732936068716	326.610569032368	759.564472654108	611.323734691397	565.349401788584	670.415948307472	567.439159508887	691.930644181931	508.062158907635	376.754398422836	408.043198861585	346.910518072559
39	Ntsc1080	417.964517888038	324.605268056673	353.124812812398	277.450957185424	531.524851654488	898.634234686544	690.624915442766	822.330371552858	432.901181582952	830.554612749739	509.774085075828	583.855990291024	380.478341136906	673.311181933974	587.733142778608	740.852294181025	715.255150811174	1019.51240614396	665.081607288187	1023.34447393431
40	Ntsc1081	62.0720919280474	247.884565140278	62.1069353562914	265.900887243901	240.227259846624	123.274787059538	389.550251651012	120.453546404027	187.061948133	212.935245694533	139.930637266048	98.90314183493	221.351523005167	283.041775253356	310.251118513049	196.064074231317	84.0844493553411	32.4682702515749	87.5411797065598	22.5659351663218
41	Ntsc1082	195.419281967764	310.566523118579	176.752048391073	243.886947849372	145.397761975651	148.833995187578	140.170049505673	118.75349780447	149.627502782307	123.362229926016	149.698536269333	104.875899128982	138.967722921108	171.306568815853	122.194082805446	102.34877913864	153.351406606871	114.008004281447	181.772681593479	110.336875276487
42	Ntsc1083	373.467946362815	549.931332636836	445.56558370824	580.736458369411	253.80476901918	273.284179074629	266.289318753831	326.058510001452	140.322245016344	169.543182143068	252.245424945495	250.183295717298	651.145806526929	404.191402747512	300.995392631582	333.704947201255	472.860383978494	468.274414071191	530.390284813324	473.675845662073
43	Ntsc1084	0	0	0	0	0	0	0	0	0	0	0	0	0.2063007660018	0	0.195081900411174	0	0	0	0	0
44	Ntsc1085	540.844469783248	889.262112636859	563.782069792417	881.717292378029	617.380592570222	627.705932072906	563.936756257192	701.522553491956	535.972003277295	861.776879372596	521.094410273329	1338.52568188133	651.740267689188	715.677248887143	756.348716068362	674.40250312949	315.784679775424	476.1407192957	397.59111212962	465.929429221166
45	Ntsc1086	135.753951872092	319.354779962391	134.239031497873	325.764700598799	187.924830498667	223.655200307696	171.343506264462	191.657169144736	146.278965466226	137.136787310435	177.948904003702	165.428333165607	185.791810580762	183.355446421916	154.728041599374	176.790498652486	112.506226525352	124.810836349154	154.945198102881	104.15058724821
