"Geneid" "Allel" "Tissue" "Value"
"111" "Ntsc7886" "sa" "veg" NA
"112" "Ntsc7886" "sa" "sex" 0.376357627822995
"113" "Ntsc3924" "BA" "veg" 0.0278213674234248
"114" "Ntsc3924" "BA" "sex" -0.102914989926175
"115" "Ntsc3924" "sa" "veg" -0.72303307599657
"116" "Ntsc3924" "sa" "sex" 0.298455431890831
"117" "Ntsc1447" "BA" "veg" NA
"118" "Ntsc1447" "BA" "sex" -0.550707500889834
"119" "Ntsc1447" "sa" "veg" NA
"120" "Ntsc1447" "sa" "sex" -0.960941691788812
"121" "Ntsc1439" "BA" "veg" 0.831070062519728
"122" "Ntsc1439" "BA" "sex" 0.124125305180011
"123" "Ntsc1439" "sa" "veg" 0.620292154062323
"124" "Ntsc1439" "sa" "sex" -0.159390196835214
"125" "Ntsc3923" "BA" "veg" 0.545963870892498
"126" "Ntsc3923" "BA" "sex" -0.304696090219913
"127" "Ntsc3923" "sa" "veg" 0.839455834421984
"128" "Ntsc3923" "sa" "sex" -0.908798603334464
"129" "Ntsc3907" "BA" "veg" -0.529450330193067
"130" "Ntsc3907" "BA" "sex" 0.66194899693782
"131" "Ntsc3907" "sa" "veg" 0.0870948379254369
"132" "Ntsc3907" "sa" "sex" -0.0480486897491552
"133" "Ntsc3915" "BA" "veg" -0.269266420148347
"134" "Ntsc3915" "BA" "sex" -0.898056351322725
"135" "Ntsc3915" "sa" "veg" 0.167523812185276
"136" "Ntsc3915" "sa" "sex" 0.166448313575232
"137" "Ntsc3914" "BA" "veg" -0.760718666240881
"138" "Ntsc3914" "BA" "sex" -0.255876612701165
"139" "Ntsc3914" "sa" "veg" 0.127204772958863
"140" "Ntsc3914" "sa" "sex" 0.533647973788253
"141" "Ntsc3906" "BA" "veg" 0.362753940006925
"142" "Ntsc3906" "BA" "sex" 0.937254787977188
"143" "Ntsc3906" "sa" "veg" 0.823578620989515
"144" "Ntsc3906" "sa" "sex" -0.255916607157614
"145" "Ntsc7885" "BA" "veg" 0.133948721287207
"146" "Ntsc7885" "BA" "sex" 0.64130428473432
"147" "Ntsc7885" "sa" "veg" -0.301948520491536
"148" "Ntsc7885" "sa" "sex" -0.140407128243934
"149" "Ntsc1435" "BA" "veg" NA
"150" "Ntsc1435" "BA" "sex" NA
"151" "Ntsc1435" "sa" "veg" NA
"152" "Ntsc1435" "sa" "sex" NA
"153" "Ntsc7884" "BA" "veg" NA
"154" "Ntsc7884" "BA" "sex" 0.559473824582217
"155" "Ntsc7884" "sa" "veg" NA
"156" "Ntsc7884" "sa" "sex" -0.255030685225335
"157" "Ntsc7889" "BA" "veg" NA
"158" "Ntsc7889" "BA" "sex" NA
"159" "Ntsc7889" "sa" "veg" NA
"160" "Ntsc7889" "sa" "sex" NA
"161" "Ntsc3905" "BA" "veg" -0.83275909947988
"162" "Ntsc3905" "BA" "sex" 0.720809204512195
"163" "Ntsc3905" "sa" "veg" -0.591264733039637
"164" "Ntsc3905" "sa" "sex" 0.207743910520544
"165" "Ntsc3913" "BA" "veg" 0.471682885642591
"166" "Ntsc3913" "BA" "sex" 0.213759624781839
"167" "Ntsc3913" "sa" "veg" 0.327828126249839
"168" "Ntsc3913" "sa" "sex" 0.289121749698348
"169" "Ntsc3912" "BA" "veg" -0.50663455138331
"170" "Ntsc3912" "BA" "sex" 0.45410961729813
"171" "Ntsc3912" "sa" "veg" -0.0437616534642708
"172" "Ntsc3912" "sa" "sex" -0.408479070626432
"173" "Ntsc3932" "BA" "veg" -0.138030417894727
"174" "Ntsc3932" "BA" "sex" -0.51200297138784
"175" "Ntsc3932" "sa" "veg" 0.266253751464286
"176" "Ntsc3932" "sa" "sex" -0.600292960084262
"177" "Ntsc3904" "BA" "veg" -0.660219403043526
"178" "Ntsc3904" "BA" "sex" -0.194870647271405
"179" "Ntsc3904" "sa" "veg" -0.914893974492814
"180" "Ntsc3904" "sa" "sex" -0.378927995495227
"181" "Ntsc1446" "BA" "veg" -0.4080692413063
"182" "Ntsc1446" "BA" "sex" -0.0324547881391093
"183" "Ntsc1446" "sa" "veg" -0.168894204992834
"184" "Ntsc1446" "sa" "sex" -0.843342508157167
"185" "Ntsc1445" "BA" "veg" NA
"186" "Ntsc1445" "BA" "sex" 0.301511344577766
"187" "Ntsc1445" "sa" "veg" 8.5577159915283e-16
"188" "Ntsc1445" "sa" "sex" 0.49236596391733
"189" "Ntsc3903" "BA" "veg" -0.824113527872872
"190" "Ntsc3903" "BA" "sex" 0.657142263287581
"191" "Ntsc3903" "sa" "veg" -0.481488842757443
"192" "Ntsc3903" "sa" "sex" 0.956876905412747
"193" "Ntsc3902" "BA" "veg" 0.395530561918218
"194" "Ntsc3902" "BA" "sex" 0.8603929939104
"195" "Ntsc3902" "sa" "veg" 0.697377098722261
"196" "Ntsc3902" "sa" "sex" 0.594845130819169
"197" "Ntsc7888" "BA" "veg" -0.678080425750818
"198" "Ntsc7888" "BA" "sex" 0.0980257771805047
"199" "Ntsc7888" "sa" "veg" 0.0655941742730499
"200" "Ntsc7888" "sa" "sex" -0.0631220372915538
"201" "Ntsc3901" "BA" "veg" -0.203106566136699
"202" "Ntsc3901" "BA" "sex" -0.918625594160364
"203" "Ntsc3901" "sa" "veg" 0.245127065339516
"204" "Ntsc3901" "sa" "sex" -0.154052844308046
"205" "Ntsc1444" "BA" "veg" 0.95322997457895
"206" "Ntsc1444" "BA" "sex" -0.413375672911105
"207" "Ntsc1444" "sa" "veg" -0.844957498710731
"208" "Ntsc1444" "sa" "sex" -0.878640313586988
"209" "Ntsc3911" "BA" "veg" 0.572118790408214
"210" "Ntsc3911" "BA" "sex" -0.505600805792194
"211" "Ntsc3911" "sa" "veg" -0.429738645465237
"212" "Ntsc3911" "sa" "sex" -0.0251233838369234
"213" "Ntsc3910" "BA" "veg" -0.0988553764302982
"214" "Ntsc3910" "BA" "sex" 0.0749461424171783
"215" "Ntsc3910" "sa" "veg" -0.904226037207488
"216" "Ntsc3910" "sa" "sex" 0.934941470186539
"217" "Ntsc3900" "BA" "veg" 0.123614914284375
"218" "Ntsc3900" "BA" "sex" 0.712020824889669
"219" "Ntsc3900" "sa" "veg" 0.240763783849012
"220" "Ntsc3900" "sa" "sex" 0.410374419376754
"221" "Ntsc3899" "BA" "veg" -0.459919236674229
"222" "Ntsc3899" "BA" "sex" -0.442940618967434
"223" "Ntsc3899" "sa" "veg" -0.670686581595442
"224" "Ntsc3899" "sa" "sex" -0.369136857906305
"225" "Ntsc3898" "BA" "veg" 0.318319235885154
"226" "Ntsc3898" "BA" "sex" 0.0320192555308808
"227" "Ntsc3898" "sa" "veg" -0.887605868134501
"228" "Ntsc3898" "sa" "sex" -0.836278310876698
"229" "Ntsc1434" "BA" "veg" 0.20064921189241
"230" "Ntsc1434" "BA" "sex" -0.669201277539004
"231" "Ntsc1434" "sa" "veg" -0.775267502228571
"232" "Ntsc1434" "sa" "sex" 0.334060396009141
"233" "Ntsc1433" "BA" "veg" -0.794876072936503
"234" "Ntsc1433" "BA" "sex" 0.0857133054126021
"235" "Ntsc1433" "sa" "veg" -0.566263178480869
"236" "Ntsc1433" "sa" "sex" -0.457239731940554
"237" "Ntsc3897" "BA" "veg" -0.714337073203676
"238" "Ntsc3897" "BA" "sex" 0.544078793719046
"239" "Ntsc3897" "sa" "veg" -0.367332168405682
"240" "Ntsc3897" "sa" "sex" -0.660640168077544
"241" "Ntsc1432" "BA" "veg" -0.276814178484424
"242" "Ntsc1432" "BA" "sex" -0.181622462365774
"243" "Ntsc1432" "sa" "veg" 0.694379709943968
"244" "Ntsc1432" "sa" "sex" 0.589099315326827
"245" "Ntsc3896" "BA" "veg" 0.756049194779775
"246" "Ntsc3896" "BA" "sex" 0.46290339450104
"247" "Ntsc3896" "sa" "veg" -0.143537822012862
"248" "Ntsc3896" "sa" "sex" 0.380667030846908
"249" "Ntsc1428" "BA" "veg" -0.336883898634979
"250" "Ntsc1428" "BA" "sex" 0.375312772721074
"251" "Ntsc1428" "sa" "veg" -0.227198029390683
"252" "Ntsc1428" "sa" "sex" -0.235840960999859
"253" "Ntsc1431" "BA" "veg" 0.218209673093504
"254" "Ntsc1431" "BA" "sex" 0.243229309289634
"255" "Ntsc1431" "sa" "veg" 0.578884381434824
"256" "Ntsc1431" "sa" "sex" 0.0921029793855846
"257" "Ntsc1430" "BA" "veg" 0.746682414608572
"258" "Ntsc1430" "BA" "sex" 0.733937611897975
"259" "Ntsc1430" "sa" "veg" 0.0844541879844076
"260" "Ntsc1430" "sa" "sex" 0.943669152225595
"261" "Ntsc1429" "BA" "veg" -0.400889525996222
"262" "Ntsc1429" "BA" "sex" 0.758516136840867
"263" "Ntsc1429" "sa" "veg" -0.37665775986182
"264" "Ntsc1429" "sa" "sex" 0.220898041372956
"265" "Ntsc3895" "BA" "veg" -0.458393799355502
"266" "Ntsc3895" "BA" "sex" -0.445218250370687
"267" "Ntsc3895" "sa" "veg" -0.604716060974541
"268" "Ntsc3895" "sa" "sex" -0.294183999394564
"269" "Ntsc1426" "BA" "veg" NA
"270" "Ntsc1426" "BA" "sex" -0.0209478252340977
"271" "Ntsc1426" "sa" "veg" -0.216741641114899
"272" "Ntsc1426" "sa" "sex" -0.473156402945518
"273" "Ntsc1427" "BA" "veg" 0.401722524264804
"274" "Ntsc1427" "BA" "sex" -0.228102519227689
"275" "Ntsc1427" "sa" "veg" -0.926917942199487
"276" "Ntsc1427" "sa" "sex" -0.466934795424969
"277" "Ntsc3894" "BA" "veg" -0.0875565639171437
"278" "Ntsc3894" "BA" "sex" -0.0783942339894245
"279" "Ntsc3894" "sa" "veg" -0.506536714781187
"280" "Ntsc3894" "sa" "sex" -0.256154804377968
