"Geneid" "Allel" "Tissue" "Value"
"121" "Ntsc1439" "BA" "veg" 0.8
"122" "Ntsc1439" "BA" "sex" 0.052704627669473
"123" "Ntsc1439" "sa" "veg" 0.1
"124" "Ntsc1439" "sa" "sex" 0.0512989176042577
"125" "Ntsc3923" "BA" "veg" -0.153896752812773
"126" "Ntsc3923" "BA" "sex" -0.3
"127" "Ntsc3923" "sa" "veg" 0.718184846459608
"128" "Ntsc3923" "sa" "sex" -0.9
"129" "Ntsc3907" "BA" "veg" -0.564288093646835
"130" "Ntsc3907" "BA" "sex" 0.632455532033676
"131" "Ntsc3907" "sa" "veg" 0.2
"132" "Ntsc3907" "sa" "sex" -0.368932393686311
"133" "Ntsc3915" "BA" "veg" -0.3
"134" "Ntsc3915" "BA" "sex" -0.974679434480896
"135" "Ntsc3915" "sa" "veg" 0.359092423229804
"136" "Ntsc3915" "sa" "sex" -0.0512989176042577
"137" "Ntsc3914" "BA" "veg" -0.718184846459608
"138" "Ntsc3914" "BA" "sex" -0.2
"139" "Ntsc3914" "sa" "veg" 0.205195670417031
"140" "Ntsc3914" "sa" "sex" 0.461690258438319
"141" "Ntsc3906" "BA" "veg" 0.0512989176042577
"142" "Ntsc3906" "BA" "sex" 0.9
"143" "Ntsc3906" "sa" "veg" 0.872081599272381
"144" "Ntsc3906" "sa" "sex" 0.0512989176042577
"145" "Ntsc7885" "BA" "veg" -0.153896752812773
"146" "Ntsc7885" "BA" "sex" 0.6
"147" "Ntsc7885" "sa" "veg" -0.7
"148" "Ntsc7885" "sa" "sex" -0.3
"149" "Ntsc1435" "BA" "veg" NA
"150" "Ntsc1435" "BA" "sex" NA
"151" "Ntsc1435" "sa" "veg" NA
"152" "Ntsc1435" "sa" "sex" NA
"153" "Ntsc7884" "BA" "veg" NA
"154" "Ntsc7884" "BA" "sex" 0.917662935482247
"155" "Ntsc7884" "sa" "veg" NA
"156" "Ntsc7884" "sa" "sex" -0.181369062527503
"157" "Ntsc7889" "BA" "veg" NA
"158" "Ntsc7889" "BA" "sex" NA
"159" "Ntsc7889" "sa" "veg" NA
"160" "Ntsc7889" "sa" "sex" NA
"161" "Ntsc3905" "BA" "veg" -0.6
