"Geneid" "Allel" "Tissue" "Value"
"110" "Ntsc7886" "BA" "sex" -0.042613277632999
"111" "Ntsc7886" "sa" "veg" 0.11031941489171
"112" "Ntsc7886" "sa" "sex" -0.127612493747315
"113" "Ntsc3924" "BA" "veg" 0.122807364616205
"114" "Ntsc3924" "BA" "sex" -0.288193599375584
"115" "Ntsc3924" "sa" "veg" -0.463908983191558
"116" "Ntsc3924" "sa" "sex" 0.00138094380343598
"117" "Ntsc1447" "BA" "veg" 0.322177212636224
"118" "Ntsc1447" "BA" "sex" -0.231006848774079
"119" "Ntsc1447" "sa" "veg" -0.31117521885585
"120" "Ntsc1447" "sa" "sex" -0.957805067770801
"121" "Ntsc1439" "BA" "veg" 0.818743597990346
"122" "Ntsc1439" "BA" "sex" 0.14489378342005
"123" "Ntsc1439" "sa" "veg" 0.728717223783942
"124" "Ntsc1439" "sa" "sex" -0.398357109271518
"125" "Ntsc3923" "BA" "veg" 0.459844914311617
"126" "Ntsc3923" "BA" "sex" -0.321567856736952
"127" "Ntsc3923" "sa" "veg" 0.784366079481226
"128" "Ntsc3923" "sa" "sex" -0.821539714907698
"129" "Ntsc3907" "BA" "veg" -0.630393731724976
"130" "Ntsc3907" "BA" "sex" 0.587449487880496
"131" "Ntsc3907" "sa" "veg" 0.0751621954687486
"132" "Ntsc3907" "sa" "sex" -0.359977380082747
"133" "Ntsc3915" "BA" "veg" -0.214920531424632
"134" "Ntsc3915" "BA" "sex" -0.864912515626985
"135" "Ntsc3915" "sa" "veg" -0.0149478733080349
"136" "Ntsc3915" "sa" "sex" 0.259703454214612
"137" "Ntsc3914" "BA" "veg" -0.724497334578779
"138" "Ntsc3914" "BA" "sex" -0.189420502474546
"139" "Ntsc3914" "sa" "veg" 0.211574156054011
"140" "Ntsc3914" "sa" "sex" 0.608182863364095
"141" "Ntsc3906" "BA" "veg" 0.298475791714193
"142" "Ntsc3906" "BA" "sex" 0.824842792901846
"143" "Ntsc3906" "sa" "veg" 0.827209930526497
"144" "Ntsc3906" "sa" "sex" 0.225820517149502
"145" "Ntsc7885" "BA" "veg" 0.131545815426091
"146" "Ntsc7885" "BA" "sex" 0.668088687316625
"147" "Ntsc7885" "sa" "veg" 0.00161461660095764
"148" "Ntsc7885" "sa" "sex" 0.257853380956924
"149" "Ntsc1435" "BA" "veg" NA
"150" "Ntsc1435" "BA" "sex" NA
"151" "Ntsc1435" "sa" "veg" NA
"152" "Ntsc1435" "sa" "sex" NA
"153" "Ntsc7884" "BA" "veg" -0.377557102129517
"154" "Ntsc7884" "BA" "sex" 0.330107512439125
"155" "Ntsc7884" "sa" "veg" -0.271328693070805
"156" "Ntsc7884" "sa" "sex" 0.127490214555248
"157" "Ntsc7889" "BA" "veg" NA
"158" "Ntsc7889" "BA" "sex" NA
"159" "Ntsc7889" "sa" "veg" NA
"160" "Ntsc7889" "sa" "sex" NA
"161" "Ntsc3905" "BA" "veg" -0.789871299086175
"162" "Ntsc3905" "BA" "sex" 0.706112603025209
"163" "Ntsc3905" "sa" "veg" -0.272555157153841
"164" "Ntsc3905" "sa" "sex" 0.199188303341945
"165" "Ntsc3913" "BA" "veg" 0.478330187342862
"166" "Ntsc3913" "BA" "sex" 0.159041489187832
"167" "Ntsc3913" "sa" "veg" 0.446073268622441
"168" "Ntsc3913" "sa" "sex" 0.25183041308581
"169" "Ntsc3912" "BA" "veg" -0.418679193172872
"170" "Ntsc3912" "BA" "sex" 0.406905052421033
"171" "Ntsc3912" "sa" "veg" -0.15064559373749
"172" "Ntsc3912" "sa" "sex" -0.356417899644444
"173" "Ntsc3932" "BA" "veg" -0.090516382580779
"174" "Ntsc3932" "BA" "sex" -0.561538143272686
"175" "Ntsc3932" "sa" "veg" 0.160055377217281
"176" "Ntsc3932" "sa" "sex" -0.206724174186254
"177" "Ntsc3904" "BA" "veg" -0.541414018941291
"178" "Ntsc3904" "BA" "sex" -0.399079041573711
"179" "Ntsc3904" "sa" "veg" -0.677385771921727
"180" "Ntsc3904" "sa" "sex" -0.33006733071032
"181" "Ntsc1446" "BA" "veg" -0.427743527355431
"182" "Ntsc1446" "BA" "sex" -0.0236113756153617
"183" "Ntsc1446" "sa" "veg" -0.251682784614915
"184" "Ntsc1446" "sa" "sex" -0.657724319751014
"185" "Ntsc1445" "BA" "veg" -0.256113863839371
"186" "Ntsc1445" "BA" "sex" 0.313676228388563
"187" "Ntsc1445" "sa" "veg" -0.0698998026470247
"188" "Ntsc1445" "sa" "sex" 0.186016873702391
"189" "Ntsc3903" "BA" "veg" -0.854580410525308
"190" "Ntsc3903" "BA" "sex" 0.506668948387078
"191" "Ntsc3903" "sa" "veg" -0.484929832747768
"192" "Ntsc3903" "sa" "sex" 0.888513479828737
"193" "Ntsc3902" "BA" "veg" 0.331394365961796
"194" "Ntsc3902" "BA" "sex" 0.865747465183564
"195" "Ntsc3902" "sa" "veg" 0.550526550664637
"196" "Ntsc3902" "sa" "sex" 0.700162440562189
"197" "Ntsc7888" "BA" "veg" -0.643032079408146
"198" "Ntsc7888" "BA" "sex" 0.0221896614310115
"199" "Ntsc7888" "sa" "veg" 0.0900925734721385
"200" "Ntsc7888" "sa" "sex" -0.123712860626956
"201" "Ntsc3901" "BA" "veg" -0.242544018148971
"202" "Ntsc3901" "BA" "sex" -0.790002975813242
"203" "Ntsc3901" "sa" "veg" 0.378307726624973
"204" "Ntsc3901" "sa" "sex" -0.112201122094018
"205" "Ntsc1444" "BA" "veg" 0.87275772854985
"206" "Ntsc1444" "BA" "sex" -0.26276284744349
"207" "Ntsc1444" "sa" "veg" -0.660105926916273
"208" "Ntsc1444" "sa" "sex" -0.697448207241519
"209" "Ntsc3911" "BA" "veg" 0.556631491626391
"210" "Ntsc3911" "BA" "sex" -0.441764802843922
"211" "Ntsc3911" "sa" "veg" -0.647528078102959
"212" "Ntsc3911" "sa" "sex" 0.0293998664511056
"213" "Ntsc3910" "BA" "veg" -0.0710908358538665
"214" "Ntsc3910" "BA" "sex" 0.176317008217504
"215" "Ntsc3910" "sa" "veg" -0.850726697929041
"216" "Ntsc3910" "sa" "sex" 0.795430368488874
"217" "Ntsc3900" "BA" "veg" 0.0882284117960156
"218" "Ntsc3900" "BA" "sex" 0.722408504516894
"219" "Ntsc3900" "sa" "veg" 0.213016102814819
"220" "Ntsc3900" "sa" "sex" 0.467266811234535
"221" "Ntsc3899" "BA" "veg" -0.415069832003017
"222" "Ntsc3899" "BA" "sex" -0.514990501259603
"223" "Ntsc3899" "sa" "veg" -0.328548542094099
"224" "Ntsc3899" "sa" "sex" -0.345389318015499
"225" "Ntsc3898" "BA" "veg" 0.305730289154612
"226" "Ntsc3898" "BA" "sex" -0.0311987570688627
"227" "Ntsc3898" "sa" "veg" -0.69022701728714
"228" "Ntsc3898" "sa" "sex" -0.841151188203382
"229" "Ntsc1434" "BA" "veg" 0.201863437020653
"230" "Ntsc1434" "BA" "sex" -0.660834758468202
"231" "Ntsc1434" "sa" "veg" -0.827972948982126
"232" "Ntsc1434" "sa" "sex" 0.27346298039345
"233" "Ntsc1433" "BA" "veg" -0.704069338825233
"234" "Ntsc1433" "BA" "sex" 0.0234398250956146
"235" "Ntsc1433" "sa" "veg" -0.365299755719849
"236" "Ntsc1433" "sa" "sex" -0.580835680100351
"237" "Ntsc3897" "BA" "veg" -0.704580923972794
"238" "Ntsc3897" "BA" "sex" 0.590785053481425
"239" "Ntsc3897" "sa" "veg" -0.183553538990138
"240" "Ntsc3897" "sa" "sex" -0.658468532801489
"241" "Ntsc1432" "BA" "veg" -0.298586103827615
"242" "Ntsc1432" "BA" "sex" -0.39998192771336
"243" "Ntsc1432" "sa" "veg" 0.632372432044795
"244" "Ntsc1432" "sa" "sex" 0.271597288088842
"245" "Ntsc3896" "BA" "veg" 0.674109017866612
"246" "Ntsc3896" "BA" "sex" 0.524286089451251
"247" "Ntsc3896" "sa" "veg" 0.0196632852957749
