	Geneid	crassa_BA_sex	crassa_BA_veg	crassa_sa_sex	crassa_sa_veg	L1_BA_sex	L1_BA_veg	L1_sa_sex	L1_sa_veg	L10_BA_sex	L10_BA_veg	L10_sa_sex	L10_sa_veg	L6_BA_sex	L6_BA_veg	L6_sa_sex	L6_sa_veg	sito_BA_sex	sito_BA_veg	sito_sa_sex	sito_sa_veg
1	Ntsc1042	9.54445177776172	9.83217616976286	9.5234705235755	9.79977443581091	10.3275319440928	9.78821490156823	10.0829731751685	9.5526678173632	10.1470449041211	9.91175836964637	10.5419936799427	10.0935084004288	10.4037750644497	10.5123375019641	10.1497711568327	9.63228764023692	9.36916614473624	10.555196236357	9.25322435934853	10.8845075200145
2	Ntsc1043	6.98789346639565	7.54130070321716	6.9680572581483	7.40994646272009	7.23372561946398	7.34142152253488	7.25142482753594	7.54261929047125	7.84258188370316	8.89157999860726	7.6944580635895	7.87512167077418	7.2909707800715	8.39924480497722	7.5158361445944	7.53833848916206	7.67244259666921	8.52767146310497	7.04117379186791	7.48771033007715
3	Ntsc1044	7.44463972169266	3.93629943668455	8.26814694311001	4.11725215373034	4.48690509576559	4.96499007022701	5.63634697438365	5.25015713754799	6.04167045120784	3.96554571544135	8.64196857660833	4.76971023041793	7.90763685716857	10.5205149430822	5.79014660495519	6.93459071775525	6.70464812686856	3.68328066892693	5.64912128329965	3.71645162357965
4	Ntsc1045	12.0415292888957	12.1177650769811	12.012827175423	12.3384749745298	10.7787002174907	11.2371423486154	11.8524109705148	11.4008579559291	10.2084349755401	8.32769121268602	9.03813486661722	10.2624737293165	10.865062482692	11.9121319111161	11.4532898624645	11.3820483658661	11.3518828800675	10.1524978426644	11.3223485320039	9.89196548699078
5	Ntsc1046	9.52081222852758	8.08870012944144	9.39407085347653	8.04890818214068	9.48783277654165	8.81568915899457	9.45874869633614	8.90687986204735	9.35473870450794	10.0670477664512	9.31744161111378	8.81013728065853	9.1091369431406	8.92422555631265	9.39601218435456	8.72672131940062	9.60290285321654	9.10644832845771	9.96126188279199	9.7394838401384
6	Ntsc1047	10.1491349135168	10.018761389784	10.1888763265966	9.97341728325773	10.3244034492353	9.55665657917341	10.8247974548456	9.57645303999326	10.2752157675416	9.53482677415274	9.93720226123952	9.74884125843329	9.90779340764077	9.78835331252921	10.5629009001477	9.65066995655339	10.3840166402355	9.41111905735355	10.5049859816057	9.26078977079304
7	Ntsc1048	6.64283268125673	6.91869914672441	6.71412733333837	6.99362535286508	7.42028770630181	7.04398025912034	7.51356231992552	7.1160536217252	7.2867046771935	7.57048294710575	7.15336543268166	6.81643689631134	7.02686534326395	6.70472571632469	7.32706916819058	7.20265113331047	7.03472058075055	6.9919843663027	7.13595543880495	7.04483020433056
8	Ntsc1049	8.74507701179759	9.78883195623593	8.68013090158478	9.5512317453128	9.14949218918975	10.1084637436167	9.15276912360372	9.80629847474077	9.03824973441234	9.6147353189727	8.85220733262383	9.06693385710785	9.05352713744449	9.20790921987245	9.01857351102016	9.34862444744148	9.33262054471864	9.39769046425588	9.27246065495045	9.53447924458485
9	Ntsc1050	8.56503901656342	11.0433154303606	8.53853741714159	10.9717515688108	6.32707473557027	10.5038958683626	6.01168153698177	10.8499190172338	6.91988833524555	10.5560031934074	7.08640973352639	10.7312253773443	7.68894658516332	10.4175148706512	6.31631804042838	10.5780546336526	6.14592667292661	9.89174431364947	6.73140366944611	10.2221231246244
10	Ntsc1051	2.88136219082836	2.89764252275478	2.93114512492569	2.98604067391623	3.89129217501933	3.63977712398463	4.16488226994464	3.52649190749849	4.36095046783022	3.32927647013618	5.26711322687274	4.54462321065606	3.11241710655627	3.04451064993495	4.24057303771948	3.56316929288392	5.90699590679397	4.71753266417697	5.66472619611799	4.17588066469571
